,Model,Coherence,Diversity
0,baseline_gsdmm,0.3488689103339089,1.0
1,baseline_lda,0.3247995325531051,1.0
2,log_gsdmm,0.4460367307524379,1.0
3,log_lda,0.35990346514335797,1.0
4,bdc_gsdmm,0.4020705897453013,1.0
5,bdc_lda,0.345662073303697,1.0
6,log_bdc_gsdmm,0.566251564418528,1.0
7,log_bdc_lda,0.2684653139569416,1.0
8,bertopic_minilm,0.5667265522420104,0.88
9,bertopic_mpnet,0.4240626723231965,0.88
10,bertopic_distl_roberta,0.2859782155836665,1.0
