,Topic ID,Topic Top Words
0,Topic 0,"{'biden': 1777.2802880654442, 'joe': 973.9005678164651, 'president': 744.4839118538472, 'trump': 646.4486435141097, 'jill': 374.90604637313066, 'vote': 320.4153859454325, 'behavior': 308.3893245679129, 'sign': 294.28135733562175, 'abuse': 263.05540616377, 'stutter': 260.14397118521697, 'symptom': 243.45485513753061, 'gait': 218.93687240000705, 'shuffle': 200.68029024695318, 'obvious': 187.34027531395023, 'elder': 179.89154388145505, 'speech': 177.51431771559837, 'democrat': 174.93061229359847, 'handler': 172.54871875749794, 'country': 161.36738721790675, 'act': 160.66429691821665}"
1,Topic 1,"{'sorry': 629.1119133887194, 'loss': 577.9632140435181, 'prayer': 407.202158565238, 'condolence': 378.3382315310045, 'peace': 376.198862763499, 'lose': 306.4369024579122, 'hug': 250.94792714499968, 'bless': 228.40188771489363, 'grief': 221.66240490753833, 'horrible': 219.0342181875199, 'hard': 217.0416851139459, 'beautiful': 214.5868952485955, 'pas': 213.96631339921996, 'miss': 213.03704389344563, 'journey': 209.92287797044088, 'cruel': 208.52134234946845, 'heartbreaking': 202.3634680031246, 'strength': 202.06373218084263, 'grieve': 194.38653902339624, 'love': 190.02865039092865}"
2,Topic 2,"{'pay': 712.3643766033196, 'pension': 321.43906346082724, 'cost': 263.1524093953225, 'social': 241.50829767570673, 'tax': 240.84657900557315, 'service': 204.31792528497837, 'bill': 199.0525706083526, 'medicaid': 189.16963201185777, 'council': 187.23649375932936, 'insurance': 179.8164609865096, 'attorney': 174.12803347041572, 'medicare': 171.115742562548, 'income': 169.53564698268252, 'sell': 160.98613840781738, 'donate': 146.68765145998225, 'allowance': 138.2564590403355, 'vote': 138.00406814707097, 'customer': 137.65608373470582, 'payment': 136.92354240798088, 'debt': 134.47419781272993}"
3,Topic 3,"{'music': 569.8385697824659, 'sing': 561.2094665309867, 'song': 461.9775207624086, 'play': 383.3990739319427, 'cream': 258.97620422751015, 'na': 244.99185142876425, 'cook': 236.7253276300919, 'ice': 232.19177823535819, 'game': 214.1698487517719, 'favorite': 199.0418084703257, 'book': 197.91692237163326, 'remember': 196.38944755673947, 'gon': 181.7428598878553, 'buy': 173.34871068356915, 'recipe': 143.04134421539703, 'smile': 134.89983290492157, 'fan': 128.42166495624198, 'forget': 127.61457987447429, 'love': 124.38273351115515, 'favourite': 122.58547183487417}"
4,Topic 4,"{'covid': 639.3334834400606, 'hospital': 542.1714888050086, 'vaccinate': 379.0052547106133, 'mask': 361.62168647720085, 'jab': 360.183404749667, 'booster': 298.6035733866206, 'vaccine': 289.30809229039346, 'test': 259.48224581782165, 'vax': 259.23744084913204, 'vaxxed': 230.9986812195862, 'infection': 228.03956177384148, 'flu': 226.81326257093912, 'ambulance': 214.10613835798836, 'hip': 208.26368190214092, 'visitor': 204.10763505796047, 'pneumonia': 166.0694614669598, 'lockdown': 165.8187453718247, 'symptom': 158.7985503354266, 'surgery': 152.73188180103017, 'staff': 150.45045329870317}"
