,Topic ID,Topic Top Words
0,Topic 0,"{'sorry': 696.607203080996, 'loss': 528.7565046837352, 'prayer': 412.3967105319677, 'peace': 357.22557343610885, 'condolence': 325.5990108361459, 'hug': 292.41714973568236, 'lose': 253.34278554876494, 'beautiful': 243.63730067443697, 'hard': 220.14128048360504, 'miss': 219.96254051891657, 'thank': 216.36256811987525, 'grieve': 215.72550556157287, 'pas': 207.75745083340607, 'love': 206.52438707144557, 'bless': 206.3096956664735, 'journey': 204.56706894322468, 'share': 204.31074367449884, 'horrible': 192.97898539939223, 'grief': 184.50010883408237, 'cruel': 184.02981751158845}"
1,Topic 1,"{'pay': 664.7943767120952, 'donate': 364.25276652300073, 'pension': 326.1364664870467, 'cost': 260.036218489325, 'social': 232.57122421067155, 'tax': 226.92424224383313, 'fund': 206.38255398901308, 'insurance': 192.67205578727066, 'support': 189.13380110710318, 'fundraiser': 188.97552132621982, 'medicaid': 188.46408022465337, 'bill': 184.95671384581976, 'attorney': 183.84929118411176, 'money': 181.1851670033507, 'donation': 178.79651328803095, 'service': 178.56686790451872, 'medicare': 173.4286868551449, 'council': 168.49138030207888, 'income': 168.15467017793557, 'honor': 165.7262907107384}"
2,Topic 2,"{'music': 588.6188581848023, 'sing': 553.2970523075174, 'song': 493.91123791519766, 'play': 355.5215754277118, 'cream': 275.1481876784958, 'cook': 258.28664342911253, 'ice': 245.84635132090432, 'book': 232.05448672946733, 'eat': 217.14647953512815, 'na': 207.25362461234454, 'favorite': 189.60142630269004, 'game': 176.16286023321277, 'gon': 151.79425247739766, 'food': 144.65717741847843, 'dinner': 140.05839179958159, 'remember': 139.076460760247, 'smile': 136.72736126556597, 'beautiful': 136.41945458156792, 'cat': 134.8297571162108, 'piano': 134.4330544342964}"
3,Topic 3,"{'covid': 680.9278619514523, 'hospital': 584.365004874334, 'vaccinate': 406.9680577202984, 'jab': 369.2010594692021, 'mask': 364.78659812559266, 'booster': 318.0922060053884, 'vaccine': 317.3158418081963, 'vax': 276.87866890414, 'flu': 266.0468235908028, 'test': 263.61269116190516, 'infection': 240.8814419472919, 'vaxxed': 226.93870388954878, 'hip': 222.86493672272042, 'ambulance': 221.73087660055222, 'visitor': 203.69505007354098, 'lockdown': 189.04687282431644, 'pneumonia': 185.12766202992302, 'risk': 160.03523276117122, 'symptom': 159.1362039823036, 'staff': 156.68434828975373}"
4,Topic 4,"{'biden': 1762.2791974016409, 'joe': 962.5142101062044, 'president': 732.5621114384041, 'trump': 647.4184965099186, 'jill': 364.41646890414654, 'behavior': 303.66672787091704, 'sign': 290.84004442477806, 'vote': 290.68444707786614, 'abuse': 285.02903232053376, 'stutter': 250.51155777109386, 'symptom': 228.44028399665117, 'gait': 217.8767277465699, 'obvious': 202.76333711819603, 'shuffle': 193.67740401141828, 'elder': 179.17219309024702, 'speech': 178.31667236496887, 'democrat': 174.18144812578836, 'handler': 169.2513884508533, 'act': 160.79046943367146, 'puppet': 159.92290959737474}"
