,Model,Coherence,Diversity
0,baseline_gsdmm,0.3649606968426765,1.0
1,baseline_lda,0.3212712762711579,1.0
2,log_gsdmm,0.4771092449269282,1.0
3,log_lda,0.3588078540163444,1.0
4,bdc_gsdmm,0.4696162791575561,1.0
5,bdc_lda,0.34561977775502717,1.0
6,log_bdc_gsdmm,0.6094525462965021,1.0
7,log_bdc_lda,0.343699019247663,1.0
8,bertopic_minilm,0.45453562335449327,0.97
9,bertopic_mpnet,0.3252325277528571,1.0
10,bertopic_distl_roberta,0.2845303565219384,1.0
