,Topic ID,Topic Top Words
0,Topic 0,"{'pay': 818.120028765757, 'pension': 289.66718891343226, 'bill': 270.85754800590985, 'cost': 258.5565654984116, 'tax': 258.429953526953, 'service': 248.6914776377212, 'social': 238.40384404015475, 'sell': 232.63287824929972, 'attorney': 211.778880110569, 'carers': 196.69067689470765, 'council': 191.56296094800123, 'medicaid': 190.92076277619879, 'account': 183.623844883639, 'income': 182.49106568617964, 'money': 176.0212721024455, 'insurance': 175.21773498075348, 'vote': 172.41460128668092, 'bank': 165.06974891324353, 'afford': 164.64194442319277, 'house': 164.02503833924203}"
1,Topic 1,"{'covid': 649.5239341189041, 'hospital': 416.8328216388289, 'jab': 350.41901298833915, 'vaccine': 316.4662260384438, 'mask': 262.308272511648, 'flu': 258.29400397916936, 'vaccinate': 253.61874125052645, 'infection': 243.7170290043074, 'vax': 238.49799522776775, 'blood': 235.81681903489476, 'booster': 230.3785221055709, 'test': 220.73770730691146, 'pneumonia': 211.9746883319511, 'surgery': 204.732894999935, 'kidney': 204.30543311704707, 'cancer': 204.29791293562718, 'failure': 199.2316199763147, 'staff': 189.4269864643161, 'lung': 188.49421876074433, 'ambulance': 188.1878809236204}"
2,Topic 2,"{'sing': 636.2790669088811, 'music': 570.4480289469774, 'song': 563.0291575661928, 'play': 329.71019953924645, 'favorite': 241.45970069285738, 'smile': 229.3613394710718, 'beautiful': 212.2662475371256, 'cook': 198.76175548006265, 'game': 198.61162178465656, 'love': 197.31488389366504, 'remember': 177.7484578460086, 'donate': 174.59526473892242, 'birthday': 165.15531229500726, 'recipe': 149.7560244467573, 'photo': 146.26718792998676, 'dance': 143.04402705939603, 'book': 142.77440813659078, 'happy': 137.8660342521319, 'fundraiser': 137.14572196408938, 'piano': 136.02665772009755}"
3,Topic 3,"{'sorry': 582.5491274886909, 'loss': 500.95113932843105, 'peace': 388.01240559000047, 'condolence': 367.9288641100023, 'prayer': 353.1991166828641, 'hug': 286.57276290240225, 'miss': 257.5627424625035, 'lose': 254.47244935568557, 'love': 239.56019658792593, 'hard': 235.61325419039343, 'grieve': 226.52546781274233, 'grief': 216.69888169276516, 'bless': 210.7679907170008, 'cruel': 210.0332163606782, 'strength': 207.82364516276502, 'heartbreaking': 204.8617682950135, 'pas': 198.7313429006119, 'tough': 193.84764740167523, 'cancer': 189.15563974128136, 'horrible': 186.97528855459515}"
4,Topic 4,"{'biden': 1744.659093135795, 'joe': 1015.3878926863905, 'president': 738.1493198287443, 'trump': 637.7542158408532, 'jill': 398.7719422650556, 'behavior': 265.74178741112667, 'sign': 262.00550378740905, 'stutter': 247.19593605603083, 'abuse': 241.96831354448528, 'vote': 240.2799230697356, 'shuffle': 203.8167977182709, 'symptom': 202.98975065425054, 'gait': 201.0090076626916, 'act': 195.1152023683437, 'remind': 192.05079833312425, 'obvious': 180.01901280431574, 'speech': 172.84897458661547, 'handler': 169.9201242511448, 'democrat': 168.70787250175917, 'elder': 162.68267431287117}"
