,Topic ID,Topic Top Words
0,Topic 0,"{'music': 688.1183860705632, 'sing': 659.9635997257922, 'song': 612.2984659549799, 'play': 381.0305346680122, 'donate': 283.94576216627496, 'book': 273.0747788256601, 'honor': 207.00489835601553, 'beautiful': 204.01726254051934, 'fundraiser': 187.88419389959103, 'game': 185.47164345660792, 'favorite': 183.9284945276864, 'smile': 152.50428672004426, 'love': 150.67439171164264, 'donation': 147.40666430453098, 'movie': 146.54143992752867, 'fan': 142.14541684746357, 'write': 141.19348940476732, 'favourite': 133.42807377932755, 'joy': 132.818595356092, 'piano': 131.19574495387087}"
1,Topic 1,"{'pay': 763.8047159044305, 'pension': 311.42289217165023, 'tax': 306.994198563006, 'bill': 302.7821810023903, 'money': 289.6220594695971, 'sell': 279.37592741450766, 'house': 251.16191225701053, 'bank': 219.95559592457127, 'account': 219.0613671201834, 'buy': 217.95372702663596, 'cost': 196.1980573034273, 'cook': 179.22981825109173, 'cream': 176.0042193735059, 'income': 171.25802156565493, 'attorney': 164.37981307608672, 'rent': 162.9950654510237, 'council': 162.84560869001206, 'service': 160.7510381805622, 'ice': 156.50654045386108, 'afford': 155.54231594750786}"
2,Topic 2,"{'biden': 1773.3550827915158, 'joe': 987.2882996095914, 'president': 757.0221364463683, 'trump': 665.2065446395624, 'jill': 368.77349068103496, 'behavior': 271.5722524712029, 'vote': 253.0588338137619, 'sign': 247.92334820892498, 'stutter': 245.50173518206054, 'abuse': 232.89958247003992, 'gait': 217.16145156742652, 'shuffle': 206.39764881712355, 'symptom': 199.5994789205835, 'democrat': 167.49942115556306, 'remind': 162.74414280390243, 'obvious': 162.44708540342376, 'handler': 162.36402027587732, 'speech': 161.4333064531574, 'act': 153.2149390343289, 'puppet': 151.7598182008123}"
3,Topic 3,"{'covid': 942.7303158421277, 'hospital': 615.3113274364601, 'mask': 456.33089360980375, 'vaccinate': 455.1778021770255, 'jab': 433.9327384574885, 'vaccine': 395.0577795587431, 'test': 330.3409858711029, 'infection': 322.5777973736077, 'booster': 311.7831434745787, 'vax': 310.8772841928434, 'flu': 285.5412874163096, 'vaxxed': 271.45028556512176, 'pneumonia': 247.1760111722802, 'lockdown': 244.08582350557003, 'hip': 239.48340657475055, 'surgery': 228.10665395530734, 'visitor': 222.34288275565095, 'risk': 207.86664113312455, 'blood': 203.1314246813782, 'pay': 201.54874185426002}"
4,Topic 4,"{'sorry': 669.7161158789144, 'loss': 513.5537766966105, 'prayer': 392.057396563373, 'peace': 386.7860263231, 'condolence': 362.3002525631844, 'hug': 298.38895008126957, 'lose': 255.38168384813517, 'miss': 254.8436871931592, 'love': 248.37570726747333, 'hard': 242.35414872966047, 'bless': 214.36902821299552, 'cruel': 211.77707364212253, 'pas': 209.6006273576082, 'grieve': 209.53508220093164, 'horrible': 208.48446743969538, 'heartbreaking': 200.20601268469798, 'grief': 191.52389171329222, 'beautiful': 189.10772359274085, 'pain': 183.99738766338723, 'birthday': 181.11951702075973}"
