,Topic ID,Topic Top Words
0,Topic 0,"{'sing': 617.7505608474174, 'music': 520.2188353629238, 'song': 509.88794079151455, 'play': 371.18127899635607, 'favorite': 269.0572850262049, 'cook': 239.1593765305864, 'cream': 237.99689181590813, 'remember': 236.1158044154226, 'smile': 207.40701718986483, 'ice': 202.9423546006024, 'game': 194.6797137820233, 'love': 172.21587465732037, 'buy': 170.61959184839094, 'laugh': 157.8083235332171, 'birthday': 151.00632510187373, 'eat': 143.17895748696785, 'recipe': 140.65678420346669, 'name': 140.03570576850615, 'beautiful': 139.4079025296687, 'dinner': 135.57819631386607}"
1,Topic 1,"{'covid': 953.4698412500378, 'hospital': 645.2862636510921, 'mask': 475.1663196468058, 'jab': 442.33545714979346, 'vaccinate': 433.0005226301107, 'vaccine': 358.38711334753094, 'infection': 329.8399748674839, 'booster': 311.0803772289954, 'vax': 307.0117287568604, 'flu': 284.95623023054065, 'test': 282.67236929411666, 'vaxxed': 280.6662317056516, 'hip': 272.66922873170813, 'pneumonia': 248.49676902099156, 'lockdown': 244.47279238127516, 'visitor': 238.37625787840955, 'ambulance': 232.07844522510737, 'blood': 219.386983186738, 'surgery': 202.0656541262736, 'er': 199.5690702969581}"
2,Topic 2,"{'biden': 1778.4212534482745, 'joe': 993.5043361337349, 'president': 735.9151695854815, 'trump': 648.4850293795846, 'jill': 374.196501393723, 'behavior': 298.91462284689493, 'sign': 271.5325689792126, 'vote': 259.6640518162119, 'stutter': 252.08737207871883, 'abuse': 218.19105727712787, 'symptom': 214.7862172142333, 'shuffle': 210.9126073280363, 'gait': 209.36595037449936, 'speech': 191.21650821413817, 'obvious': 180.73399964081102, 'democrat': 175.36321963944084, 'handler': 166.8982508611472, 'act': 166.7112876499435, 'remind': 162.13333907512654, 'potus': 158.35717066412894}"
3,Topic 3,"{'sorry': 604.8247017558738, 'loss': 539.3160892481374, 'peace': 395.08121775724874, 'prayer': 376.8945909434154, 'condolence': 371.0786574031839, 'lose': 284.285146618221, 'hug': 271.1754361790743, 'miss': 249.0731440099816, 'love': 236.17891769475582, 'grief': 230.44248435982362, 'strength': 220.490598771925, 'bless': 217.42840397668485, 'heartbreaking': 216.03534162918552, 'beautiful': 213.17227814002726, 'cruel': 208.8220102244467, 'pas': 207.38675034344737, 'horrible': 199.96598708179027, 'journey': 194.91738573116726, 'grieve': 192.09338805265725, 'hard': 189.81197147877077}"
4,Topic 4,"{'pay': 876.6664572235615, 'money': 465.9568391883077, 'bill': 330.8657018830223, 'pension': 325.14169261596237, 'fund': 324.48660122928993, 'tax': 308.4533192981109, 'cost': 290.6133651034514, 'service': 272.6836917874154, 'account': 258.1325227625294, 'sell': 255.83043140251297, 'donate': 254.55510604414525, 'support': 237.79493882935793, 'social': 231.4196568804092, 'bank': 228.6140826723711, 'income': 214.30894588628036, 'insurance': 213.669630963125, 'attorney': 211.22962534429286, 'work': 200.31467602627689, 'council': 189.28967103217377, 'help': 186.1574908036773}"
